COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RdCrsCat,RdCrsWs
8673199,0.9432,100,70.506,100,0.0,0.312030181828497
8673201,3.2445,100,27.9531,100,0.0,0.214645245071209
8673203,1.7919,100,2.6856,100,0.0,0.0
8673205,0.8937,100,0.8937,100,0.0,0.0
8673207,4.3542,100,13.158,100,0.6889899407468649,0.37999696002432004
8673209,1.4508,100,1.4508,100,0.68927488282327,0.68927488282327
8673211,1.3077,100,1.3077,100,0.0,0.0
8673213,0.1998,100,1.4085,100,0.0,0.0
8673215,0.0099,100,88.9749,100,0.0,0.35965199174149104
8673217,0.2025,100,88.965,100,4.9382716049382696,0.359692013713258
8673219,1.1322,100,172.24200000000002,100,0.0,0.27287188955074804
8673221,1.3158,100,1.3158,100,0.0,0.0
8673223,0.4851,100,1.6848,100,0.0,0.0
8673225,0.4923,100,8.9262,100,2.03128173877717,0.22405951020591103
8673227,0.0288,100,7.7859,100,0.0,0.0
8673229,0.1701,100,2.0043,100,0.0,0.997854612582947
8673231,0.0306,100,88.9956,100,0.0,0.359568338209979
8673233,1.1520000000000001,100,1.1520000000000001,100,2.6041666666666696,2.6041666666666696
8673235,0.1773,100,90.5607,100,0.0,0.35335415914408796
8673237,0.0099,100,106.4475,100,0.0,0.450926513069823
8673239,0.9585,100,0.9585,100,4.173187271778819,4.173187271778819
8673241,0.6993,100,2.1501,100,0.0,0.465094646760616
8673243,1.8342,100,1.8342,100,1.09039363210119,1.09039363210119
8673245,0.0387,100,0.6417,100,0.0,0.0
8673247,1.899,100,1.899,100,0.0,0.0
8673249,0.4302,100,0.4302,100,0.0,0.0
8673251,0.9909,100,3.9222,100,0.0,0.0
8673253,0.7308,100,0.7308,100,0.0,0.0
8673255,0.36,100,1.0071,100,2.77777777777778,0.9929500546122528
8673257,0.2619,100,108.3051,100,0.0,0.44319242584144203
8673259,0.3816,100,0.648,100,2.6205450733752595,1.5432098765432098
8673261,7.6995,100,17.442,100,0.779271381258523,0.9173259947253759
8673263,0.0189,100,109.3311,100,0.0,0.44817988660134206
8673265,1.9080000000000001,100,6.5907,100,2.6205450733752595,0.9103737084073008
8673267,1.3797,100,1.3797,100,0.0,0.0
8673269,1.4562,100,32.2443,100,0.686718857299822,0.248105866773352
8673271,8.0136,100,8.0136,100,0.249575721273834,0.249575721273834
8673273,4.3866,100,4.3866,100,0.683900971139379,0.683900971139379
