COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RunoffCat,RunoffWs
9202249,14.8572,100.0,30.7557,100.0,375.0,375.0
9202251,6.3873,100.0,9.2322,100.0,381.731717627166,379.815753558198
9202253,0.9801,100.0,72.9018,100.0,375.0,378.74743833485604
9202255,0.4635,100.0,35.6337,100.0,375.0,375.0
9202257,3.2121,100.0,112.8267,100.0,375.0,374.913275846941
9202259,5.0274,100.0,5.0274,100.0,375.0,375.0
9202261,10.6227,100.0,169.74,100.0,375.0,374.281442205726
9202263,13.1931,100.0,43.6284,100.0,375.0,375.0
9202265,3.8574,100.0,3.8574,100.0,375.0,375.0
9202267,2.6685,100.0,2.6685,100.0,375.0,375.0
9202269,0.9063,100.0,198.9702,100.0,375.0,378.206221333647
9202271,0.1863,100.0,201.825,100.0,375.0,378.16086956521696
9202273,8.9478,100.0,8.9478,100.0,375.0,375.0
9202275,4.1967,100.0,4.1967,100.0,375.0,375.0
9202277,6.1857,100.0,6.1857,100.0,375.0,375.0
9202279,13.833,100.0,163.8846,100.0,375.0,375.46541895943903
9202281,2.8449,100.0,2.8449,100.0,375.514077823474,375.514077823474
9202283,0.9342,100.0,0.9342,100.0,375.0,375.0
9202285,1.1259,100.0,214.4943,100.0,375.0,374.431369504924
9202287,4.1121,100.0,4.1121,100.0,375.0,375.0
9202289,6.228,100.0,20.358,100.0,375.0,375.409018567639
9202291,5.9652,100.0,7.5024,100.0,375.0,375.0
9202293,2.6604,100.0,4.6296,100.0,375.0,375.0
9202295,0.0081,100.0,25.8696,100.0,375.0,375.381992763707
9202297,13.248,100.0,26.0523,100.0,375.0,374.950530279476
9202299,4.0617,100.0,210.0834,100.0,375.0,378.036615458432
9202301,5.5035,100.0,5.5035,100.0,375.282583810303,375.282583810303
9202303,37.6002,100.0,105.4053,100.0,375.0,375.068444376137
9202305,6.4845,100.0,6.4845,100.0,375.0,375.0
9202307,3.4299,100.0,151.8903,100.0,375.0,374.93557982307
9202309,1.0566,100.0,1.0566,100.0,375.0,375.0
9202311,1.0368,100.0,1.0368,100.0,375.0,375.0
9202313,0.7416,100.0,3.6396,100.0,375.0,375.0
9202315,13.9842,100.0,37.2834,100.0,375.0,375.0
9202317,0.7758,100.0,0.7758,100.0,376.885150812065,376.885150812065
9202319,8.7282,100.0,77.00399999999999,100.0,375.0,374.87321178120595
9202321,5.462999999999999,100.0,5.462999999999999,100.0,375.0,375.0
9202323,2.9061,100.0,2.9061,100.0,375.0,375.0
9202325,9.2322,100.0,53.1045,100.0,375.0,375.0
9202327,0.3429,100.0,50.7789,100.0,375.0,375.0
9202329,1.9692,100.0,1.9692,100.0,375.0,375.0
9202331,2.4111,100.0,2.4111,100.0,375.0,375.0
9202333,2.1987,100.0,220.8051,100.0,375.0,374.44762145439597
9202335,4.8438,100.0,174.9141,100.0,375.0,375.436071191516
9202337,3.951,100.0,3.951,100.0,375.0,375.0
9202339,9.54,100.0,9.54,100.0,375.0,375.0
9202341,0.43200000000000005,100.0,178.2522,100.0,375.0,375.427904957134
9202343,2.799,100.0,3.8556,100.0,375.0,375.0
9202345,1.5372,100.0,1.5372,100.0,375.0,375.0
9202347,0.2286,100.0,104.11200000000001,100.0,375.0,375.0
9202349,1.188,100.0,1.188,100.0,375.0,375.0
9202351,1.6002,100.0,9.0954,100.0,375.0,375.0
9202353,4.9878,100.0,228.204,100.0,375.0,374.465530840827
9202355,4.4406,100.0,4.4406,100.0,375.0,375.0
9202357,3.15,100.0,3.9258,100.0,406.01428571428596,400.257909215956
9202359,0.6309,100.0,8.1576,100.0,375.0,408.489629302736
9202361,0.9225,100.0,0.9225,100.0,375.0,375.0
9202363,7.6869,100.0,59.6088,100.0,375.0,375.144159922696
9202365,2.5515,100.0,2.5515,100.0,375.0,375.0
9202367,3.4560000000000004,100.0,122.2182,100.0,375.0,375.0
9202369,3.6009,100.0,3.6009,100.0,423.331667083229,423.331667083229
9202371,10.4751,100.0,14.2893,100.0,375.592318927743,375.81287396863405
9202373,7.5321,100.0,165.9069,100.0,375.0,374.941022344459
9202375,9.7515,100.0,119.1078,100.0,375.0,375.06057034048104
9202377,15.2802,100.0,230.8266,100.0,375.0,377.763730436613
9202379,0.9801,100.0,0.9801,100.0,375.0,375.0
9202381,2.8107,100.0,3.8475,100.0,375.0,375.0
9202383,6.9075,100.0,194.6997,100.0,375.0,375.39175715216794
9202385,18.495,100.0,18.495,100.0,375.0,375.0
9202387,1.2744,100.0,125.7363,100.0,375.0,375.0
9202389,0.7695,100.0,0.7695,100.0,375.0,375.0
9202391,2.133,100.0,13.8249,100.0,375.0,375.0
9202393,0.0288,100.0,198.576,100.0,375.0,375.384109862219
9202395,2.9628,100.0,3.8853,100.0,375.0,375.0
9202397,8.5635,100.0,8.5635,100.0,375.0,375.0
9202399,5.9823,100.0,243.2817,100.0,375.0,374.498655262603
9202401,2.6766,100.0,4.0482,100.0,375.0,375.0
9202403,1.0539,100.0,74.952,100.0,375.0,375.269620557157
9202405,5.5611,100.0,86.5431,100.0,375.0,374.88718684678497
9202409,1.3275,100.0,17.7462,100.0,375.0,375.0
9202411,2.2437,100.0,2.2437,100.0,375.0,375.0
9202413,0.4284,100.0,161.9235,100.0,375.0,375.064508240002
9202415,11.7909,100.0,13.1526,100.0,375.0,375.0
9202417,0.1683,100.0,0.2628,100.0,375.0,375.0
9202419,17.3754,100.0,107.5905,100.0,375.0,379.52862938642403
9202421,0.7829999999999999,100.0,285.7977,100.0,375.0,374.99100622573195
9202423,0.0162,100.0,0.1701,100.0,375.0,375.0
9202425,3.8142,100.0,3.8142,100.0,376.418593676262,376.418593676262
9202427,4.0113,100.0,16.6095,100.0,375.0,391.448117041452
9202429,2.5245,100.0,204.9858,100.0,375.0,375.37209894539
9202431,1.6632,100.0,2.6433,100.0,375.0,375.0
9202433,1.0107,100.0,14.3766,100.0,375.0,388.241830474521
9202435,1.8882,100.0,1.8882,100.0,375.0,375.0
9202437,2.0187,100.0,17.6049,100.0,375.0,375.0
9202439,0.9549,100.0,11.2275,100.0,375.0,391.85170340681395
9202441,7.1154,100.0,7.1154,100.0,399.876675942322,399.876675942322
9202443,3.0834,100.0,5.6349,100.0,375.0,375.0
9202445,9.7776,100.0,10.7118,100.0,375.0,375.0
9202447,5.544,100.0,723.4317,100.0,375.0,376.74791898115603
9202449,14.5611,100.0,352.9782,100.0,375.0,378.187675612828
9202451,4.7466,100.0,35.7327,100.0,375.0,387.973201017555
9202453,1.3617,100.0,1.3617,100.0,375.0,375.0
9202455,2.1069,100.0,1018.5417,100.0,375.0,376.23895722678805
9202457,2.3832,100.0,1011.6126,100.0,375.0,376.24744353717995
9202459,2.8098,100.0,2.8098,100.0,375.0,375.0
9202461,0.6372,100.0,715.2444,100.0,375.0,376.767927158884
9202463,5.5125,100.0,72.4689,100.0,375.0,381.723401348716
9202465,4.4028,100.0,603.0162,100.0,375.0,377.00442376175005
9202467,0.54,100.0,558.504,100.0,375.0,377.15120214000297
9202469,14.6502,100.0,14.6502,100.0,375.0,375.0
9202471,1.4094,100.0,2.1384,100.0,375.0,375.547138047138
9202473,5.1003,100.0,5.1003,100.0,375.0,375.0
9202475,1.1574,100.0,3.0456,100.0,375.0,375.0
9202477,0.9918,100.0,15.057,100.0,375.0,376.309025702331
9202479,7.7661,100.0,154.9143,100.0,375.0,375.0
9202481,1.9746,100.0,1.9746,100.0,375.0,375.0
9202483,8.2458,100.0,255.5757,100.0,375.0,374.52277153109594
9202485,0.3186,100.0,1047.1149,100.0,375.0,376.205149119738
9202487,3.1608,100.0,3.1608,100.0,375.0,375.0
9202489,6.8544,100.0,8.7057,100.0,375.0,375.0
9202491,3.8142,100.0,4.8222,100.0,375.0,375.0
9202493,7.7445,100.0,25.6059,100.0,375.0,375.282942603072
9202495,3.1572,100.0,3.1572,100.0,378.86259977195,378.86259977195
9202497,1.008,100.0,1.008,100.0,375.0,375.0
9202499,5.3262,100.0,40.1094,100.0,375.0,375.18063097428495
9202501,7.8561,100.0,172.9404,100.0,375.0,375.06039884260696
9202503,0.7290000000000001,100.0,0.7290000000000001,100.0,376.604938271605,376.604938271605
9202505,8.64,100.0,111.59100000000001,100.0,375.0,375.50004032583297
9202507,6.0237,100.0,6.0237,100.0,377.38308680711197,377.38308680711197
9202509,3.6486,100.0,3.6486,100.0,375.0,375.0
9202511,3.24,100.0,19.5867,100.0,375.0,375.0
9202513,5.103,100.0,5.103,100.0,375.0,375.0
9202515,7.4484,100.0,9.1773,100.0,375.0,375.0
9202517,0.1197,100.0,5.2227,100.0,375.0,375.0
9202519,1.3023,100.0,1.3023,100.0,375.0,375.0
9202521,2.2608,100.0,80.4762,100.0,375.0,375.69337269900905
9202523,4.3875,100.0,8.0415,100.0,375.0,375.66592053721297
9202525,0.3006,100.0,0.3006,100.0,375.0,375.0
9202527,11.4219,100.0,11.4219,100.0,375.0,375.0
9202529,4.0743,100.0,70.8552,100.0,375.0,375.78752159333396
9202531,3.3777,100.0,5.7816,100.0,375.0,375.0
9202533,1.7289,100.0,1.7289,100.0,375.0,375.0
9202535,6.5898,100.0,166.6044,100.0,375.0,375.0
9202537,9.9117,100.0,11.0997,100.0,375.0,375.0
9202539,0.0036,100.0,171.2403,100.0,375.0,375.0
9202541,0.9396,100.0,0.9396,100.0,380.69923371647496,380.69923371647496
9202543,2.4138,100.0,3.3534,100.0,375.0,376.596886741814
9202545,5.7996,100.0,1308.4902,100.0,375.0,375.871203773632
9202547,2.178,100.0,7.3602,100.0,375.0,375.0
9202549,5.6655,100.0,6.9678,100.0,375.0,375.0
9202551,4.6323,100.0,4.6323,100.0,375.0,375.0
9202553,2.4039,100.0,2.4039,100.0,375.0,375.0
9202555,0.3348,100.0,15.5286,100.0,375.0,375.0
9202557,4.5558,100.0,44.757,100.0,375.0,375.894832093304
9202559,11.0466,100.0,12.0798,100.0,375.415512465374,375.599761585457
9202561,8.226,100.0,8.226,100.0,375.0,375.0
9202563,1.1754,100.0,1.1754,100.0,375.0,375.0
9202565,10.2807,100.0,26.9253,100.0,375.0,375.0
9202567,1.5975,100.0,1.5975,100.0,375.0,375.0
9202569,1.5201,100.0,1.5201,100.0,375.0,375.0
9202571,2.2221,100.0,1317.7539,100.0,375.0,375.865079283772
9202573,2.421,100.0,5.1939,100.0,375.0,375.0
9202575,4.8339,100.0,4.8339,100.0,375.0,375.0
9202577,10.5939,100.0,12.5685,100.0,375.0,375.0
9202579,1.0332,100.0,1.0332,100.0,377.56968641115,377.56968641115
9202581,6.6087,100.0,6.6087,100.0,375.0,375.0
9202583,9.2277,100.0,32.463,100.0,375.0,375.0
9202585,3.6621,100.0,3.6621,100.0,375.0,375.0
