COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,CanalDensCat,CanalDensWs
10529065,0.0063,100,7.6509,100,0.0,0.0
10529067,34.0497,100,3900.2499,100,0.0,0.0209001715865181
10529069,6.0957,100,4369.4559,100,0.0,0.0237616633844502
10529071,0.0333,100,1.7649,100,0.0,0.0
10529073,1.3959,100,4372.6167,100,0.0,0.0237444869725261
10529075,0.0135,100,1.4526,100,0.0,0.0
10529077,0.8451,100,1.1277,100,0.0,0.0
10529079,0.0081,100,2.4147,100,0.0,0.0
10529081,22.761,100,4396.8303,100,0.0,0.0236137247027705
10529085,0.0666,100,9.8271,100,0.0,0.0
10529087,2.9385,100,4402.1835,100,0.0,0.0235850096364679
10529089,0.0144,100,6.4359,100,0.0,0.0
10529091,0.3186,100,4412.3292,100,0.0,0.0235307783174927
10529093,1.7577,100,4420.5228,100,0.0,0.0234871631629182
10529095,0.7596,100,59.5458,100,0.0,0.0
10529097,0.036000000000000004,100,60.7653,100,0.0,0.0
10529099,0.0054,100,2.0043,100,0.0,0.0
10529103,2.0286,100,64.7982,100,0.0,0.0
10529105,0.0576,100,65.0799,100,0.0,0.0
10529107,0.1035,100,86.7069,100,0.0,0.0
10529109,0.0108,100,17.3493,100,0.0,0.0
10529111,3.7602,100,4510.9899,100,0.0,0.0230161322837367
10529113,2.4561,100,2.4561,100,0.0,0.0
10529115,0.7434,100,0.7434,100,0.0,0.0
10529117,1.9305,100,1.9305,100,0.0,0.0
10529119,9.9558,100,99.6255,100,0.0,0.0
10529121,0.0225,100,53.2017,100,0.0,0.0
10529123,0.0045,100,53.2143,100,0.0,0.0
10529125,3.1536,100,3507.8319,100,0.0,0.0232382549860214
10529127,0.0153,100,53.343,100,0.0,0.0
10529129,1.2186,100,3562.3998,100,0.0,0.0228822975288456
10529131,0.414,100,53.1792,100,0.0,0.0
10529133,0.0819,100,53.2611,100,0.0,0.0
10529135,0.0315,100,53.3277,100,0.0,0.0
10529137,4.383,100,57.7107,100,0.0,0.0
10529139,0.4545,100,3567.2373,100,0.0,0.0228512670408274
10529141,0.6111,100,0.6111,100,0.0,0.0
10529143,0.0009,100,146.7495,100,0.0,0.0
10529145,0.0009,100,2.7891,100,0.0,0.0
10529147,1.1835,100,60.7293,100,0.0,0.0
10529149,0.2241,100,65.0223,100,0.0,0.0
10529151,0.0054,100,49.6998,100,0.0,0.0
10529153,0.8865,100,3901.1364,100,0.0,0.0208954222006439
10529335,0.0855,100,0.0855,100,0.0,0.0
10529337,1.2231,100,1.2231,100,0.0,0.0
10529339,2.214,100,3.4371,100,0.0,0.0
10529349,2.4426,100,2.5281,100,0.0445736780684516,0.0430662023060797
10529357,3.4299,100,175.9032,100,0.29574549771130393,0.00576668009791749
10529359,3.2085,100,3.2085,100,0.15839143286302,0.15839143286302
10529361,0.0018,100,179.1135,100,26.4652157233333,0.00876658533969801
10529365,0.6804,100,179.7939,100,1.6834735445326299,0.015104234253498001
10529371,1.6119,100,181.4058,100,0.7529904986103358,0.0216607989802421
10529373,1.1214,100,182.5272,100,0.0163820779455145,0.0216283678808315
10529375,7.2288,100,9.7569,100,0.6812287744743248,0.515875147943507
10529377,5.2704,100,5.2704,100,0.0,0.0
10529379,2.2491,100,2.2491,100,0.0,0.0
10529381,0.2736,100,192.5577,100,0.0,0.0466411245088096
10529383,0.3114,100,0.3114,100,0.0,0.0
10529385,0.4185,100,195.2253,100,0.0,0.0460038102685974
10529387,4.2273,100,4.2273,100,0.0,0.0
10529389,2.4426,100,7.712999999999999,100,0.0,0.0
10529391,0.0261,100,199.4787,100,0.0,0.0450228904681552
10529393,0.0432,100,207.2349,100,0.0,0.0433378145323495
10529395,0.0513,100,207.2862,100,0.0,0.0433270891204045
10529397,0.0036,100,207.2583,100,0.0,0.0433329215806074
10529399,0.0198,100,207.2547,100,0.0,0.043333674270499
10529401,0.009000000000000001,100,207.2637,100,0.0,0.0433317925947959
10529403,0.0459,100,207.3555,100,0.0,0.0433126088328016
10529407,1.8414,100,1.8414,100,0.0,0.0
10529409,1.2879,100,1.2879,100,0.0,0.0
10529411,0.7353,100,1.0467,100,0.0,0.0
10529413,0.0945,100,209.3004,100,0.0,0.042910131374952004
10529415,0.2898,100,209.5902,100,0.0,0.042850799611957
10529417,0.0063,100,209.5965,100,0.0,0.042849511613171
10529419,0.0027,100,209.3031,100,0.0,0.0429095778363053
10529421,0.0036,100,209.6028,100,0.0,0.0428482236918114
